"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"217.07156",0.0020551,-0.0060384,0.0051657,-0.0016276,0.0035398,-0.0065623,-0.009588,-0.0018258
"218.07802",0.015267,-0.0016488,0.020039,0.040113,-0.020305,0.0050128,-0.0143,0.00089589
"219.02711",0.018536,0.013931,0.006036,0.050885,0.00072761,0.0035269,-0.0010071,0.0044568
"220.061",-0.0030041,-0.0028192,-0.0069864,0.0064267,0.0089498,0.0051086,-0.014082,-0.0005345
"220.09765",0.0021967,0.0069675,0.0039689,-0.011932,0.0038469,-0.0042935,-0.006055,0.0018017
"221.15434",-0.0071973,-0.0055459,-0.004836,0.0050113,0.0049078,-0.0026116,-0.00093293,0.0010323
"221.07921",-0.0010708,0.0011586,-0.0018627,-0.0046227,0.011112,0.0021438,-0.0071321,0.00053747
"222.0404",-0.00079018,0.0022226,0.0074845,0.015207,0.011337,0.0012833,0.0013101,-0.00075634
"222.1576",-0.0073888,-0.005478,-0.0051743,0.0051885,0.0049228,-0.0027833,-0.0011262,0.00062118
"222.07666",-0.0098447,-0.0089784,0.010715,-0.036243,-0.0058969,0.0090213,0.0074855,0.00044668
"223.0141",-0.010866,-0.0010645,-0.0057279,-0.001979,-0.0054249,0.0095967,-0.0027729,0.00013035
"223.17011",-0.0098858,-0.0016078,-0.0030845,0.0013166,-0.0068164,0.0025104,-0.0025085,0.00047497
"224.01345",-0.023419,0.0039373,0.024293,-0.0091027,-0.019267,0.00043486,0.063983,0.0019045
"224.09262",0.015014,0.018895,-0.0059632,0.011165,-0.0043519,-0.00095801,0.0086955,0.0017095
"225.18564",-0.0034583,0.00096349,0.0016496,-8.1666e-05,-0.0027457,0.0043563,0.010441,-0.0011615
"225.11266",-0.010884,0.0040965,-0.0031815,-0.0059324,-0.0043404,0.0027446,0.011733,-0.00023653
"226.11597",-0.01416,0.004707,-0.0042524,-0.0056905,0.012092,0.0063158,0.0064904,0.0025849
"227.03474",0.033995,-0.0032579,-0.020112,-0.0096982,-0.032182,0.011247,0.026982,-0.0060399
"227.03485",0.029809,-0.011027,-0.015883,-0.003094,-0.025389,-0.032573,0.044036,0.0043845
"227.12854",0.0057856,0.0029578,0.0010861,0.023134,-0.003103,-0.002994,-0.0061251,-0.0012579
"227.12866",0.0070689,0.0099511,0.0018572,-0.0073295,0.0069998,-0.0040594,0.0050454,0.0011857
"227.16479",-0.0073454,-0.0051093,-0.0029249,0.0018838,0.0044292,0.0018476,-0.0029249,0.00017749
"227.12864",0.0069432,-0.0062318,-0.0013616,0.001385,-0.0017924,-0.0038625,-0.0050681,-0.00059228
"227.12874",0.0089722,0.0017617,0.00093396,0.0027068,-0.0017667,0.0018806,0.00044224,-0.00038996
"227.20134",-0.0022585,-0.0020853,0.003548,0.0032603,-0.0062836,-0.0013143,0.00047696,-0.0020692
"227.12871",0.0084442,0.0068092,-0.00067767,0.0049084,-0.0027691,0.0071477,0.00059701,-0.0027117
"227.1285",-0.011229,0.0067025,-0.0081988,0.0056357,0.014497,0.0023586,0.0044863,-0.00072712
"228.03797",0.030527,-0.01833,-0.016596,0.0099434,-0.048728,-0.015136,0.037307,0.0095957
"228.13182",0.0077397,0.0045146,0.0015964,0.028163,-0.0037207,-0.003574,-0.0065388,-0.0012915
"228.13193",0.0065527,0.0080256,0.0038193,-0.0093282,0.0084011,-8.3662e-05,0.0068466,-0.00027576
"228.13206",0.0093312,0.0050659,-0.002882,0.0038632,-0.00029534,0.02141,0.0033175,-0.00093615
"228.13179",-0.0089048,0.012346,0.0031249,0.0041508,0.0089588,-0.0034353,0.022731,0.0025492
"228.13206861",0.018182,0.010944,-0.0013133,0.0054688,-0.0020828,-0.0031174,-0.00078944,-0.00080361
"228.20422",-0.0022739,-0.0021687,0.003333,0.0031002,-0.006284,-0.00087498,0.00055978,0.0038916
"229.09812",0.0054701,-0.0033604,0.002195,0.0024828,-0.00066923,-0.006618,-0.0018491,0.00084216
"229.14428",0.0055592,-0.0025876,-0.0012123,-0.00074693,-0.0022728,0.00010382,0.0028911,-0.0040054
"229.2078",-0.0024206,-0.0020515,0.0033212,0.0030566,-0.0076032,-0.0014196,0.00075262,0.00025874
"229.10801",0.002751,-0.010283,0.0059843,-0.0020052,-0.0040185,0.0091206,-0.0025773,0.00076535
"230.14745",0.0060633,-0.0021822,-0.0013669,-0.0007615,-0.0023055,0.0001351,0.0029452,0.0014406
"230.10161",0.0067109,-0.0022453,-6.9558e-05,0.0080806,-0.013417,-0.01695,0.0089866,0.001475
"230.13962",-0.0059584,-0.0027025,-0.010794,0.00047623,0.002019,0.010444,-0.02656,0.00014289
"231.01867",0.0091202,0.0089931,0.0024811,-0.0046623,0.0021429,-0.012309,-0.0017197,-0.00096122
"231.0187",-0.0010821,-0.011094,0.002388,-0.026664,0.0036319,-0.00046059,-0.008491,0.0036991
"231.12366",0.006417,-0.0073254,0.0030382,0.0044045,-0.0032788,-0.010164,-0.006964,0.00084289
"231.12353",-0.0052522,-0.00142,0.011787,-0.0049282,0.0042676,0.0039289,-0.015428,0.00073403
"232.05902",-0.029951,0.0099259,0.0015847,0.0046954,-0.0075403,0.0064889,0.0094282,0.0013803
"232.56009",-0.032677,0.013801,0.014499,0.049666,-0.020469,0.0081081,-0.0014944,0.0040308
"233.04301",-0.011207,0.000274,9.3656e-05,-0.00012459,0.00036353,0.0080204,0.0012828,0.00028349
"233.15448",-0.0029032,-0.0054959,-0.0022208,0.0033827,0.00011185,0.0013228,-0.001591,-0.0011637
"233.08175",-0.00053693,-0.0024162,-7.1587e-05,-0.0084827,-0.0043363,-0.0036941,-0.0024826,0.00070195
"233.09303",0.016262,0.017798,-0.0023003,0.027569,-0.015545,0.0073676,-0.025,-0.0033157
"234.0462",-0.011569,-0.0002819,0.0010606,-0.0012196,0.0014878,0.0056196,0.0022609,0.0014368
