"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"227.12854",0.0058966,0.0029338,0.011905,0.00030969,-0.0138,0.01698,0.00029096
"227.12866",0.0062358,-0.011851,0.005751,-0.0050985,0.0093159,-0.0029156,-0.0069711
"227.16479",-0.0070518,0.0041779,-0.0066456,0.0021192,-0.00019506,0.0052875,0.0016669
"227.12864",0.0074588,0.0050624,-0.0028408,0.0063619,1.1875e-05,0.0018366,0.0017726
"227.12874",0.0089023,-0.0021756,0.0029507,-0.0019877,-0.0029335,0.000579,0.00089346
"227.20134",-0.001919,0.0058291,0.002616,1.7924e-05,-0.0036412,-0.0019906,0.0002443
"227.12871",0.007944,-0.0074341,0.0059161,-0.004659,-0.0070398,0.001608,0.0037837
"227.1285",-0.012049,-0.0096453,-0.0022692,-0.0028112,-0.0016984,0.012858,-0.0070627
"228.03797",0.031989,0.012432,-0.0053454,0.02787,-0.04415,-0.027635,-0.024895
"228.13182",0.007809,0.0026784,0.015238,-0.00039099,-0.016905,0.020393,-0.00029664
"228.13193",0.0058614,-0.010321,0.0027436,-0.0086438,0.010361,-0.0046196,-0.0060302
"228.13206",0.008795,-0.0096174,-0.0014853,-0.010717,-0.011215,0.0012713,0.0095256
"228.13179",-0.0098499,-0.0095443,0.0075023,-0.013322,-0.0019462,0.0016214,-0.021992
"228.13206861",0.017417,-0.011892,0.012334,-0.00038708,-0.0036516,0.0034009,-0.0014936
"228.20422",-0.0019379,0.0057109,0.0022868,-1.6284e-05,-0.0037837,-0.0021132,0.00045849
"229.09812",0.0058658,0.0046459,0.0012268,0.0029178,0.0013403,0.0018841,-0.0026277
"229.14428",0.0057339,0.00075086,-0.0023733,0.0014933,-0.0020632,-0.0024551,-0.0013766
"229.2078",-0.0020824,0.0058834,0.0028524,0.00056007,-0.004297,-0.0029466,0.00037164
"229.10801",0.0036722,0.010915,-0.0072799,-0.0038753,-0.00062428,-0.0046472,0.0088407
"230.14745",0.0062031,0.00021402,-0.0020896,0.0014722,-0.0021434,-0.0024746,-0.001391
"230.10161",0.0071437,0.006147,0.0076108,0.0095229,-0.0094989,-0.0035229,-0.014067
"230.13962",-0.0060368,-0.0015383,-0.0066239,0.010486,0.00041435,0.010373,0.025001
"231.01867",0.0085071,-0.0082907,0.010485,0.001675,0.0097766,-0.0016433,-0.0057854
"231.0187",-0.00045211,0.0057118,-0.015178,0.0051544,0.022729,-0.015713,0.0090303
"231.12366",0.0072149,0.010029,0.0012218,0.0070903,0.0014917,0.0032167,-0.00042833
"231.12353",-0.0049019,0.0066613,0.002092,-0.0068485,0.013346,0.00072001,0.013626
"232.05902",-0.030664,-0.0018999,0.0079643,-0.0076462,-0.010517,-0.004189,-0.001754
"232.56009",-0.032752,0.013379,0.033375,-0.016274,-0.03894,0.022136,0.0046485
"233.04301",-0.011289,0.00069534,-0.0026459,-0.0043484,-0.0025079,-0.00063467,0.0036667
"233.15448",-0.0025085,0.0050471,-0.0048732,0.0027002,-0.0032746,0.0033917,0.0013727
"233.08175",-0.00038528,0.0017499,-0.0018061,0.0051984,0.0052293,-0.0079678,0.0021489
"233.09303",0.015285,-0.011154,0.02787,0.0020664,-0.021653,0.018224,0.023182
"234.0462",-0.011593,0.00155,-0.0028393,-0.0042671,-0.00038109,-0.001119,0.0014008
"234.08988",0.011823,-0.021567,0.019688,0.0031568,-0.0018666,0.005275,-0.0013474
"234.11351",0.0039001,-0.018842,0.012481,0.0030789,0.012546,-0.0032228,0.0020789
"234.07706",-0.0069359,0.010375,0.00921,-0.01478,0.010389,-0.0027764,-3.5341e-05
"235.07885",0.010231,-0.029843,0.019224,0.0059398,0.0099231,-0.0022628,-0.005573
"236.09246",-0.00935,0.010972,-0.016444,0.010504,-0.0055295,-0.0012859,-0.0032723
"237.11313",0.0073668,-0.010966,0.0096413,-0.0075084,-0.0023204,0.0095889,-0.0049635
"238.07185",3.8242e-05,0.0010525,-0.0088805,0.0017842,-0.00074861,0.0063196,0.004548
"238.07739",-0.0031604,0.0089677,-0.030209,0.011605,0.022045,-0.021296,-0.001959
"238.57894",-0.0069656,0.012334,-0.015107,0.0080213,0.019764,-0.031575,-0.0048542
"239.07715",-0.0075011,0.0081508,-0.0048156,0.0027162,0.0020491,0.0066244,-0.0035311
"239.12624",-0.002237,0.0093043,0.0075395,0.0052456,-0.0064528,-0.0071844,-0.00086863
"239.09229",-0.0037413,-0.0016449,-0.0042851,0.010042,-0.0068604,-0.0015969,0.0021063
"239.12889",-0.0037836,-0.0026167,0.0050981,-0.0055952,0.0054331,-0.0041196,-0.0018868
"240.05144",0.0027703,-0.0063538,-0.0028523,0.0068441,0.009263,-0.0085002,0.0044121
"241.10818",0.019924,-0.0013328,-0.0096423,0.0053329,0.0070028,0.0033554,-0.0049467
"241.14445",0.0023716,0.012065,-0.014149,-0.0014551,-0.0050333,0.0055596,-0.00038771
"241.12339",0.043514,0.017044,0.00030978,0.002613,0.0001592,0.0024347,-0.00022653
"241.14421",4.3016e-05,0.009091,0.001791,-0.015118,0.00032724,0.0023316,0.00064522
"241.14456",0.0094763,-0.0061767,-0.0092013,0.0022393,0.011651,-0.0043176,-0.0043584
"241.18084",0.0053724,0.00638,-0.0030263,0.0076861,-0.0023972,-0.0083059,0.00061267
"241.08282",0.0044612,-0.0095232,0.0063832,0.00082788,-0.00073195,-0.0063023,0.00089035
"241.21716",-0.00043168,0.0030753,0.00048504,-0.0040726,-0.0012754,0.0065623,0.0032777
"241.21724",0.0031246,-0.0045993,0.0072397,-0.003389,-0.0045273,0.0074556,-0.00058871
"241.21679",0.0048729,0.0044839,0.011741,-0.0038813,-0.01146,0.0030443,-0.0026875
"241.14455",0.011093,-0.0020909,-0.010865,-0.00047095,0.0075957,-0.0050347,0.00289
"242.04351",0.014689,-0.012525,0.019333,-0.0048491,-0.011714,0.010935,0.0084552
"242.17613",-0.002458,0.0063351,-0.0034961,0.0067681,-0.004531,0.0012306,0.0066214
