"Sample","0027_XAV_iHMP2_FFA_SM-77FXR","0030_XAV_iHMP2_FFA_SM-6KUCT","0051_XAV_iHMP2_FFA_SM-9WOBP","0069_XAV_iHMP2_FFA_SM-9OS5Y","0393_XAV_iHMP2_FFA_SM-AMR37","0407_XAV_iHMP2_FFA_SM-AUP8B","0433_XAV_iHMP2_FFA_SM-9SNJ4","0508_XAV_iHMP2_FFA_SM-9X47O"
"Label","CD","CD","CD","CD","nonIBD","nonIBD","nonIBD","nonIBD"
"122.06803","14479231.21702","2905361.98346",NA,"42309209.99309","157597.7684","450544.37641","68223.30494","165497.3522"
"122.06814","3241.49126","2809284.76822",NA,"8711.21357","1173838.71301","276293.70652","31956.23385","170194.89743"
"123.04404","5851162.18979","1738979.30436","5662.36187","1400195.89971","315128.50435","3001317.75397","3048286.32112","18905843.97057"
"123.03267",NA,NA,"55663.0847","4482.11347","121047.16637",NA,"6320.97355","101987.61814"
"123.07013","340909.55357",NA,NA,"584423.59029",NA,NA,NA,NA
"124.04734","409131.19601","94433.73888",NA,"51364.12205",NA,"161117.76323","176766.55404","1360671.33087"
"125.03453","3453246.07696","2634336.6152","2727713.9869","16761841.37272","58919907.23573","32634235.90877","4302566.07632","1682786.73046"
"125.09604","3235374.85693","2382638.38069","3274703.84069","4364466.09241","29449517.05028","25676506.18395","73918070.3707","15991652.9592"
"126.03789","31371.91027",NA,"11753253.75586",NA,"1650639.57693","1099952.76791","61341.50232","6242.00716"
"126.09939","193458.28291","147652.67993","239119.11475","309808.32091","2501276.71392","2098232.34939","5817935.83567","1271904.57156"
"127.03899","897634.83926","615505.16348",NA,"4594373.96404","4385724.0223","271781.15359","3518041.83103","4546331.20323"
"129.05456","28422744.02791","19134381.26122","34289311.83349","4853990.02933","99555550.80389","34102148.14342","9505433.59002","9990359.15191"
"129.09095","410294.06014","38109.99799","7041.6324","6044.86025","966009.60642","6413807.38204","2903321.831","1296976.24987"
"130.05784","1670708.29497","1084084.29006","1761529.53214",NA,"4410185.61533","1937484.83615","220187.27005","162010.24894"
"130.06514","3760747.96597","151568.74668",NA,"126382.77142","3713058.45083","4626366.37633","1499119.85284","1757760.68417"
"130.09429",NA,NA,NA,NA,"3964.15688","373787.38469","109385.83966","38268.40553"
"131.0365","7355855.03643","2779391.27159","22727.96144","578944.61236","4290027.5151","5935078.30052","3432158.72796","254263.29767"
"131.07024","54462642.77664","36249708.16293","139723007.45913","264455558.03555","231831928.94023","29554972.0778","9022821.21003","2766145.63525"
"131.06835","203420.95987",NA,NA,NA,NA,"174238.5678","10858.52151","81134.45579"
"132.03981","535882.24704","162422.25748",NA,NA,"208703.93465","395409.44647","162277.29486",NA
"132.07355","1882986.7929","2020910.18063","9015520.54232","17139891.80973","14621810.12891","1402224.78874","244630.69108","16902.91571"
"135.04402","61356966.54444","4730201.88039","351619.56385","5635369.23144","21674354.12633","11323183.05079","11725626.03836","6817786.01003"
"135.04394","4042898.62909","19905136.38356","6653699.78844","1658501922.97226","76027.03018","1530500.13699","1714885.02131",NA
"135.04418","427781.22112","28085.26431","78786.27858","306168897.1102","2409211.38127","2210551.55838","9671575.9284","16775834.80483"
"136.04731","5290632.8462","345487.88215","2800.7602","194845.84076","762756.16479","941238.02045","851099.68472","527633.0763"
"136.04728","42332.76986","1096080.14778","2603764.54541","142688297.10639","39723.08003","74523.92884","114501.28668","25717.2551"
"136.0475","35397.91547","141163.62843","63182.0996","47237651.90958","76132.99647","114811.31578","649477.09766","1218533.5567"
