"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"238.57894",0.44119,0.44358,0.44599,0.44626,0.44628
"239.07715",0.48544,0.48505,0.48429,0.48417,0.48416
"239.12624",0.070699,0.15517,0.16026,0.16036,0.16038
"239.09229",0.27962,0.27741,0.27687,0.27725,0.27725
"239.12889",0.27544,0.27253,0.27244,0.27248,0.27249
"240.05144",0.15237,0.16562,0.16525,0.16589,0.16591
"241.10818",1.379,1.3638,1.3612,1.3608,1.3608
"241.14445",0.20829,0.21569,0.22629,0.22625,0.22625
"241.12339",3.1955,3.164,3.157,3.1559,3.1559
"241.14421",0.056062,0.10062,0.10146,0.10511,0.10511
"241.14456",0.60643,0.60779,0.60756,0.6074,0.60741
"241.18084",0.42104,0.42124,0.42032,0.42037,0.42037
"241.08282",0.26898,0.27585,0.27695,0.27686,0.27686
"241.21716",0.012014,0.03163,0.03181,0.032671,0.032671
"241.21724",0.20621,0.20515,0.2066,0.20665,0.20665
"241.21679",0.40216,0.40784,0.40955,0.40955,0.40957
"241.14455",0.74072,0.73538,0.73545,0.7352,0.73519
"242.04351",1.0013,0.99143,0.99253,0.99227,0.99226
"242.17613",0.13507,0.14692,0.14677,0.14714,0.14714
"242.08626",1.8108,1.7914,1.7884,1.788,1.788
"242.12677",2.6824,2.6563,2.6504,2.6495,2.6495
"242.11151",1.6487,1.6352,1.6322,1.6317,1.6316
"242.21987",0.2005,0.19938,0.20111,0.20111,0.20111
"242.22021",0.059047,0.065974,0.065903,0.066608,0.066609
"243.03006",1.9184,1.9007,1.8966,1.896,1.896
"243.1601",0.18171,0.18172,0.18235,0.18265,0.18265
"243.1236",0.77178,0.76913,0.76775,0.76752,0.76752
"243.08477",0.24891,0.32503,0.32875,0.32866,0.32866
"243.1965",0.0095499,0.03924,0.045302,0.046085,0.046128
"243.12388",0.38691,0.38706,0.38633,0.3862,0.38619
"243.19647",0.14224,0.15635,0.15905,0.15938,0.15942
"243.22337",0.30051,0.30027,0.30263,0.3026,0.30259
"243.19645",0.26404,0.2617,0.26123,0.26117,0.26117
"243.10286",1.7407,1.7252,1.7214,1.7212,1.7212
"243.08758",0.67098,0.6969,0.70128,0.70111,0.70111
"244.12701",0.40208,0.40203,0.40124,0.4011,0.4011
"245.03444",0.916,0.92063,0.92231,0.92218,0.9222
"245.09316",0.096147,0.10001,0.10027,0.10059,0.1006
"245.13952",0.58053,0.57624,0.57507,0.57488,0.57488
"245.09339",0.26571,0.26282,0.26232,0.26223,0.26223
"245.13924",0.43158,0.42667,0.4259,0.42577,0.42577
"245.56465",2.7975,2.7654,2.7597,2.7591,2.7591
"245.96453",0.21554,0.21617,0.21899,0.21909,0.21908
"246.14281",0.64126,0.638,0.63666,0.63645,0.63644
"246.96148",0.068831,0.089792,0.10328,0.10324,0.10325
"247.15486",0.20193,0.20039,0.19999,0.19997,0.19996
"248.12919",0.50122,0.52052,0.52893,0.52876,0.52875
"248.09293",0.10262,0.14669,0.15016,0.15098,0.15105
"249.14975",0.30755,0.30534,0.3052,0.30513,0.30512
"249.14963",0.0048221,0.061937,0.06728,0.068355,0.068416
"249.1109",0.31508,0.3336,0.33311,0.33328,0.3333
"249.11333",0.59014,0.58329,0.58393,0.58374,0.58373
"250.14485",0.28655,0.28465,0.28489,0.28489,0.28489
"250.07218",1.4656,1.4496,1.4533,1.453,1.453
"251.12648",0.67988,0.68023,0.67894,0.67871,0.67871
"251.129",1.2071,1.1931,1.1929,1.1927,1.1927
"251.20168",0.29372,0.29118,0.29117,0.29109,0.2911
"252.13226",1.5835,1.5683,1.5682,1.568,1.568
"253.05066",0.15285,0.15109,0.1561,0.15606,0.15607
"253.14459",0.21984,0.21756,0.21906,0.219,0.219
"253.21746",0.1415,0.14013,0.13983,0.13991,0.13993
"254.21996",0.15192,0.15037,0.15003,0.15012,0.15014
"254.10346",0.45404,0.44949,0.45369,0.4536,0.4536
"254.62293",0.55024,0.61024,0.60897,0.60897,0.60897
"255.14227",1.023,1.0129,1.0185,1.019,1.019
"255.0887",0.63644,0.65025,0.65631,0.65611,0.65611
"255.12457",0.45024,0.54659,0.54539,0.54566,0.54566
"255.22343",0.14676,0.14525,0.14496,0.14503,0.14505
"255.23318",0.12562,0.15176,0.15191,0.15196,0.15196
"255.23263",0.54998,0.54518,0.54444,0.54431,0.54431
"255.63075",0.063771,0.42721,0.42929,0.43247,0.43263
"256.13245",0.13325,0.43515,0.43701,0.43837,0.43851
"256.23506",0.13501,0.15987,0.15997,0.16002,0.16002
"257.17582",0.61827,0.63439,0.63324,0.63311,0.6331
"257.17575",0.11756,0.121,0.12124,0.12122,0.12122
"257.12967",0.41643,0.46832,0.46897,0.46883,0.46883
"257.23854",0.1089,0.13374,0.13477,0.13477,0.13477
"257.12923",0.47429,0.46891,0.468,0.46808,0.4681
"257.21222",0.63105,0.62581,0.62481,0.62469,0.62468
"257.21232",0.077842,0.093163,0.10709,0.1093,0.10936
"258.17918",1.0517,1.0773,1.0749,1.0748,1.0748
"258.21542",0.13108,0.13874,0.15552,0.15928,0.15928
"258.97954",0.19244,0.19491,0.19777,0.19797,0.19797
"259.13216",0.17927,0.17725,0.17708,0.17743,0.17743
"259.18165",1.0055,0.99412,1.0026,1.0033,1.0033
"259.18176",1.9083,1.8914,1.8874,1.8873,1.8873
"259.19158",0.099699,0.12579,0.12665,0.12661,0.1266
"259.98043",0.22522,0.23028,0.23383,0.23402,0.23402
"260.18498",0.9882,0.97847,0.97691,0.9766,0.97679
"261.16113",1.1583,1.1526,1.1531,1.1527,1.1527
"261.0746",1.4451,1.4286,1.4268,1.4269,1.427
"261.16106",2.3641,2.3447,2.3398,2.339,2.339
"261.16115",1.8336,1.8322,1.8287,1.8282,1.8282
"261.16112",2.0388,2.0302,2.0263,2.0256,2.0256
"262.16441",0.47688,0.4951,0.4962,0.49609,0.49608
"262.1644366",2.5038,2.4748,2.4693,2.4686,2.4686
"262.16442",2.1501,2.1263,2.1217,2.1212,2.1211
"263.14048",1.1795,1.1774,1.1749,1.1749,1.1749
"263.12917",0.03121,0.052099,0.08312,0.083166,0.083165
"263.09056",2.4475,2.4192,2.4138,2.4131,2.4131
"264.08643",1.5665,1.5555,1.5588,1.5589,1.5589
"264.08802",0.58008,0.58163,0.58041,0.58092,0.58092
"264.92778",0.25075,0.24884,0.25119,0.25133,0.25132
"265.00335",0.53727,0.53335,0.53455,0.53443,0.53443
"265.10595",0.29061,0.29242,0.29207,0.29197,0.29197
"265.14808",0.051319,0.1307,0.1305,0.13048,0.13048
"265.10593",2.2634,2.2564,2.2515,2.251,2.251
"265.11289",2.8623,2.8333,2.827,2.8261,2.8261
"265.14806",0.19486,0.24995,0.24945,0.2496,0.24961
"265.21745",0.077324,0.082013,0.083257,0.083463,0.083536
"265.10847",1.5262,1.5086,1.5055,1.5051,1.5051
"266.15148",0.0035602,0.13197,0.13218,0.13216,0.13216
"266.10925",1.2214,1.2102,1.2082,1.2092,1.2092
"266.15118",0.41853,0.42161,0.42265,0.42261,0.42261
"266.11175",2.193,2.1815,2.1768,2.1768,2.1768
"267.12404",0.016508,0.095397,0.096174,0.096844,0.096872
"267.15798",0.20759,0.24184,0.24272,0.24283,0.24283
"267.12178",0.58656,0.58229,0.58149,0.58133,0.58132
"267.11413",0.94989,0.94076,0.93868,0.9384,0.93839
"267.14397",0.11649,0.15524,0.15578,0.15613,0.15613
"267.23321",0.35956,0.3729,0.3721,0.37284,0.37284
"267.23316",0.10775,0.10654,0.10656,0.10668,0.10677
"268.12734",0.020911,0.096088,0.097055,0.097829,0.097861
"268.16133",0.21797,0.25253,0.25346,0.25354,0.25354
"268.2365",0.21196,0.22044,0.22016,0.2204,0.22043
"268.23654",0.099945,0.098933,0.099285,0.099421,0.09952
"269.04572",0.11072,0.16599,0.16899,0.17074,0.17074
"269.13138",0.83956,0.82989,0.82877,0.82852,0.82851
"269.17603",0.42438,0.42375,0.42283,0.42281,0.4228
"269.17618",0.93254,0.92286,0.92088,0.92057,0.92056
"269.09369",0.1367,0.14442,0.14614,0.14616,0.14618
"269.2489",0.25759,0.27359,0.273,0.27291,0.27291
"269.21246",0.16762,0.1662,0.16714,0.16728,0.16729
"269.24886",0.0014741,0.012019,0.015656,0.016803,0.016807
"269.21264",0.65216,0.6447,0.64348,0.6434,0.6434
"269.62843",0.70817,0.76472,0.76337,0.76332,0.76332
"270.25214",0.25835,0.27455,0.27396,0.27386,0.27386
"270.21585",0.15655,0.15543,0.15758,0.15782,0.15783
"270.25213",0.072778,0.072219,0.074099,0.074389,0.074389
"271.06164",0.15555,0.15391,0.15558,0.15674,0.15677
"271.22817",0.34167,0.34151,0.34083,0.34079,0.3408
"271.22812",0.13093,0.12951,0.13258,0.13317,0.13318
"271.22825",0.47925,0.47444,0.47439,0.47426,0.47425
"271.19168",1.2615,1.2491,1.2463,1.246,1.246
"271.19192",1.1382,1.1349,1.1364,1.1363,1.1363
"271.22353",1.8509,1.8532,1.8526,1.852,1.852
"271.22828",0.16105,0.16287,0.16475,0.16522,0.16522
"272.23134",0.35568,0.35542,0.35473,0.35468,0.35469
