"","Fold Change","log2(FC)"
"813.55264",2289,11.16
"467.31324",0.00047039,-11.054
"287.01947",2108.1,11.042
"476.23767",0.00049806,-10.971
"311.17633",1927.5,10.913
"609.22695",1875,10.873
"618.33539",0.00054168,-10.85
"629.31106",0.00054822,-10.833
"279.17168",0.0005501,-10.828
"563.14051",1811,10.823
"385.16923",1735.3,10.761
"624.31835",1727.6,10.755
"232.05902",1674.9,10.71
"589.3037",1638.8,10.678
"653.37502",1612.8,10.655
"480.26709",0.00062257,-10.649
"542.24265",1602.9,10.646
"380.25262",0.00062512,-10.644
"783.57878937",1543.4,10.592
"232.05899",1526.7,10.576
"224.0613",1510,10.56
"577.37416",1495.1,10.546
"336.66126",1482.1,10.533
"260.01985",1440.5,10.492
"607.3847",1381.8,10.432
"262.1644366",0.00075333,-10.374
"195.04851",1306.7,10.352
"469.38948",0.00076853,-10.346
"528.3442",1295.6,10.339
"266.6066",1277.4,10.319
"609.32976",0.00079363,-10.299
"465.39514",0.00079797,-10.291
"555.22426",1242.4,10.279
"443.23784",1214.1,10.246
"453.3956",0.00082701,-10.24
"811.53704",1204.3,10.234
"224.56308",1190.2,10.217
"541.26538",1171,10.193
"799.56387",1165.3,10.187
"287.61203",1165.8,10.187
"299.05406",1160.3,10.18
"373.20278",0.00086263,-10.179
"268.63859",1132.2,10.145
"376.1043",0.00088433,-10.143
"314.1118",0.00089062,-10.133
"239.99699",1116.9,10.125
"433.28112",0.00092823,-10.073
"683.30398",0.00094006,-10.055
"327.05213",1054.7,10.043
"348.18532",0.00095812,-10.028
"579.38984",1038.4,10.02
"505.20847",0.00097224,-10.006
"555.4415",1012.3,9.9834
"440.21105",963.53,9.9122
"468.30534",0.00104,-9.9092
"477.25023",0.0010713,-9.8664
"612.50788",923.88,9.8516
"807.56613",906.15,9.8236
"563.21727",0.001108,-9.8179
"565.30423",878.68,9.7792
"288.61985",875.39,9.7738
"208.00702",868.33,9.7621
"180.02934",859.56,9.7475
"812.5403",854.59,9.7391
"418.2635",853.81,9.7378
"465.28639",0.0011726,-9.736
"544.25851",848.13,9.7281
"456.20614",826.6,9.691
"367.18792",0.0012367,-9.6593
"254.62273",806.3,9.6552
"521.32337",791.16,9.6278
"518.24097",0.0012668,-9.6246
"321.18234",0.0012726,-9.618
"411.26152",768.32,9.5856
"470.23014",0.0013242,-9.5607
"357.17478",0.0013327,-9.5514
"361.23891",0.0013368,-9.547
"455.37474",0.0013426,-9.5408
"428.18265",743.34,9.5379
"307.0752",723.06,9.498
"444.26022",715.3,9.4824
"555.31836",710.35,9.4724
"726.39994",707.91,9.4674
"514.28429",705.74,9.463
"363.19319",0.0014361,-9.4436
"385.13315",675.03,9.3988
"611.36309",671.41,9.3911
"351.08561",0.0014969,-9.3838
"609.32972",0.0015105,-9.3708
"590.30603",658.9,9.3639
"798.56067",656.46,9.3586
"625.32172",654.61,9.3545
"515.28719",651.24,9.347
"375.21829",0.0015694,-9.3156
"329.10364",0.0015954,-9.2919
"466.28952",0.0016415,-9.2508
"365.20862",0.0016595,-9.235
"475.26742",586.04,9.1949
"408.28317",583.46,9.1885
"482.33915",0.0017145,-9.188
"447.20602",580.9,9.1821
"612.34858",0.0017329,-9.1726
"107.03633",573.52,9.1637
"343.22815",0.0017449,-9.1627
"701.3869",563.26,9.1377
"725.38666",562.01,9.1345
"427.23167",0.0018227,-9.0997
"475.23431",0.0018336,-9.0911
"360.19355",0.0018541,-9.075
"136.04728",534.67,9.0625
"263.09056",0.0018885,-9.0485
"516.28993",510.8,8.9966
"360.10949",0.0019965,-8.9683
"288.19024",0.0020395,-8.9376
"484.25565",483.11,8.9162
"557.45726",474.72,8.8909
"108.03226",470.63,8.8785
"506.34801",468.55,8.8721
"135.04394",465.49,8.8626
"474.26247",460.44,8.8469
"540.36668",456.91,8.8358
"352.08644",454.74,8.8289
"551.04852",0.0022458,-8.7986
"373.57345",442.38,8.7892
"539.13902",440.44,8.7828
"525.30515",439.24,8.7789
"415.14055",437.78,8.7741
"567.31714",427.66,8.7403
"410.28848",425.75,8.7339
"355.16758",419.65,8.7131
"596.35283",0.0023934,-8.7067
"251.09273",0.0024019,-8.7016
"556.3313",413.58,8.692
"464.30205",413.29,8.691
"507.31524",0.0024556,-8.6697
"471.23358",0.0024676,-8.6627
"353.10088",398.06,8.6368
"381.17222",0.0025146,-8.6355
"399.2291",396.62,8.6316
"244.14124",0.0025328,-8.625
"454.28913210",388.32,8.6011
"136.02902",383.61,8.5835
"265.10593",0.0026415,-8.5644
"411.14842",377.37,8.5598
"481.26947",0.002673,-8.5473
"767.36841",373.37,8.5445
"313.10874",0.0026886,-8.539
"435.20049",0.0027184,-8.523
"373.07185",367.84,8.5229
"685.51763",367.39,8.5212
"222.04903",366.82,8.5189
"279.61423",362.6,8.5022
"379.10927",360.84,8.4952
"635.30906",0.0027843,-8.4885
"371.12268",358.64,8.4864
"305.07052",357.3,8.481
"470.39295",0.0028089,-8.4758
"613.30003",355.23,8.4726
"737.3967",352.86,8.4629
"465.3048",351.69,8.4582
"466.30812",345.73,8.4335
"472.24551",344.55,8.4286
"499.29306",343.46,8.424
"596.34255",0.0029292,-8.4153
"725.39689",339.59,8.4076
"476.27804",338.28,8.4021
"336.15969",334.48,8.3858
"589.30294",333.67,8.3823
"351.19304",0.0029969,-8.3823
"727.41228",328.51,8.3598
"386.17265",327.9,8.3571
"498.29013",327.19,8.354
"490.33027",325.96,8.3485
"167.02021",322.06,8.3312
"582.27218",321.41,8.3283
"377.23376",0.0031126,-8.3277
"291.17157",0.0031813,-8.2962
"487.237",312.81,8.2891
"612.3488",0.0032004,-8.2876
"160.84126",0.003201,-8.2873
"443.25682",301.71,8.237
"456.29792",0.0033298,-8.2304
"471.33283",298.14,8.2198
"456.25053",294.32,8.2013
"302.07581",294.29,8.2011
"610.35935",290.02,8.18
"557.33385",285.53,8.1575
"592.3616",277.34,8.1155
"286.85408",0.0036081,-8.1146
"541.23957",274.07,8.0984
"195.81044",0.0036813,-8.0856
"566.27656",270.53,8.0797
"306.07375",270.51,8.0796
"259.18176",0.00371,-8.0744
"375.26772",0.0037537,-8.0575
"797.55808",262.99,8.0388
"400.15131",262.27,8.0349
"555.29943",257.69,8.0095
"380.18334",0.0039918,-7.9687
"232.0589",248.93,7.9596
"700.38416",247.03,7.9485
"465.28615",0.0040569,-7.9454
"433.18507",0.0040933,-7.9325
"390.26859",243.51,7.9278
"265.10847",0.0041509,-7.9123
"292.17524",0.0041534,-7.9115
"242.11151",0.0041577,-7.91
"361.2571",0.0041742,-7.9043
"554.38226",234.67,7.8745
"280.11554",229.3,7.8411
"522.32558",227.39,7.829
"791.36906",227.19,7.8277
"89.02289",224.94,7.8134
"293.10365",0.0045526,-7.7791
"488.24031",217.78,7.7667
"274.14506",215.02,7.7483
"448.28354",213.68,7.7393
"627.35692",212.55,7.7317
"286.12784",209.81,7.7129
"448.30724",209.45,7.7104
"649.41381",207.34,7.6958
"449.31002",206.71,7.6915
"471.2424",205.96,7.6862
"342.09723",205.22,7.681
"476.27073",203.21,7.6668
"612.34767",200.95,7.6507
"595.34024",0.0050447,-7.631
"408.28334189",194.23,7.6017
"607.38472",193.18,7.5938
"275.0369",190.19,7.5713
"261.16106",0.0052957,-7.561
"817.57438",188.78,7.5606
"329.10338",0.005334,-7.5506
"427.1799",187.18,7.5483
"243.12395",0.0053478,-7.5468
"244.12691",0.0053663,-7.5419
"535.22286",184.57,7.5281
"661.53273",0.0054424,-7.5215
"594.33737",0.0055154,-7.5023
"708.52106",180.93,7.4993
"511.25602",180.67,7.4972
"347.15048",0.0055503,-7.4932
"553.37073",180.06,7.4924
"399.14835",179.27,7.486
"464.80573",0.0056038,-7.4794
"818.5773",177.82,7.4742
"578.38233",175.12,7.4522
"816.57141",174.96,7.4509
"469.20412",174.37,7.446
"351.19316",0.0057491,-7.4424
"815.569",171.97,7.426
"367.01352",171.78,7.4244
"199.80451",0.0058452,-7.4185
"660.34236",170.96,7.4176
"483.27835",170.45,7.4132
"435.14574",170.06,7.4099
"194.04852",169.95,7.409
"362.20121",0.0059203,-7.4001
"274.05509",168.9,7.4
"593.33498",0.0059462,-7.3938
"323.16169",0.0059508,-7.3927
"269.62843",166.57,7.38
"273.09844",166.32,7.3778
"697.44229",166.07,7.3757
"619.42124",165.72,7.3726
"588.46707",0.0060376,-7.3718
"148.03944",164.87,7.3651
"595.35058",0.0061341,-7.3489
"431.13841",162.38,7.3432
"478.29463",161.25,7.3332
"107.02445",160.67,7.328
"699.38109",160.29,7.3245
"510.25328",160.18,7.3236
"232.05893",159.88,7.3209
"620.41286",159.78,7.32
"367.21278",0.0062719,-7.3169
"665.21496",159.2,7.3147
"392.22927",159.04,7.3133
"298.11671",0.006312,-7.3077
"613.35127",158.31,7.3066
"255.12457",158.19,7.3055
"146.08111",157.93,7.3032
"287.1868",0.0063641,-7.2958
"540.2642",155.98,7.2852
"590.30598",153.78,7.2648
"194.08163214",0.0065073,-7.2637
"254.62293",152.69,7.2545
"112.03916",152.63,7.2539
"508.32769",149.68,7.2257
"615.31659",0.0066809,-7.2257
"681.34664",147.88,7.2082
"453.28587",147.8,7.2075
"628.35846",147.35,7.2031
"637.36128",0.0068095,-7.1982
"423.27548",146.63,7.1961
"377.23387",0.0068481,-7.1901
"505.33585",0.0069248,-7.174
"117.04305",143.82,7.1682
"696.23374",0.0069544,-7.1679
"515.24164",0.0070379,-7.1506
"241.10818",0.0070735,-7.1434
"821.55573",141.26,7.1423
"176.07067",140.67,7.1362
"453.17983",0.007123,-7.1333
"401.21675",140.3,7.1324
"257.0153",140.01,7.1294
"255.08762",139.62,7.1254
"363.14569",0.0071907,-7.1197
"677.3752",136.87,7.0967
"123.02703",134.71,7.0737
"611.34543",0.0076074,-7.0384
"503.26803",130.73,7.0305
"224.07992",129.49,7.0167
"259.18179",0.0077574,-7.0102
"322.24701",0.0078507,-6.993
"345.10147",127.17,6.9906
"143.11788",126.72,6.9854
"379.24916",0.0079506,-6.9747
"368.16177",125.21,6.9682
"531.39132",124.32,6.9579
"443.257",123.79,6.9518
"90.02622",122.57,6.9375
"378.10224",121.16,6.9208
"181.08626",0.0082598,-6.9197
"557.45693",120.58,6.9139
"400.22441",120.33,6.9108
"521.23997",0.0083399,-6.9058
"401.16407",119.8,6.9045
"359.19014",0.008382,-6.8985
"360.19346",0.0084304,-6.8902
"123.03129",117.79,6.8801
"452.27354",117.51,6.8766
"403.15818",117.44,6.8757
"557.45729",117.39,6.8752
"106.04106",117.22,6.8731
"431.18316",0.0085345,-6.8725
"440.25569",116.54,6.8647
"552.36736",115.88,6.8565
"551.30443",115.03,6.8458
"313.21004",0.0088579,-6.8188
"839.55667",112.65,6.8157
"474.25518",112.34,6.8117
"367.15901",111.68,6.8033
"837.54997",109.39,6.7734
"333.13299",0.0091667,-6.7694
"567.2801",108.84,6.766
"343.0615",108.21,6.7577
"374.27841",0.0092496,-6.7564
"335.09074",0.0092538,-6.7557
"333.27997",107.97,6.7544
"713.3526",107.2,6.7442
"325.18489",0.0093728,-6.7373
"331.11907",106.6,6.7361
"261.12437",106.45,6.734
"516.27203",0.0094836,-6.7203
"278.11887",104.9,6.7129
"723.38141",103.37,6.6917
"503.33855",0.0097546,-6.6797
"481.26304",102.23,6.6757
"724.38474",102.13,6.6742
"613.54149",0.0098144,-6.6709
"607.47257",101.6,6.6667
"838.55337",101.52,6.6656
"502.2504",0.0098823,-6.6609
"375.23072",101.13,6.6601
"581.24074",101.1,6.6596
"293.10081",100.44,6.6502
"242.1224",100.22,6.6471
"384.10272",98.291,6.619
"194.04849",98.091,6.616
"421.13061",97.604,6.6089
"416.19867",97.149,6.6021
"361.17958",97.03,6.6004
"153.01829",96.751,6.5962
"490.33118",96.144,6.5871
"331.24946",0.01059,-6.5612
"451.24011",94.336,6.5597
"701.53645",94.272,6.5588
"300.08132",93.999,6.5546
"488.27586",0.010647,-6.5535
"623.42992",93.818,6.5518
"678.44848",93.645,6.5491
"277.12285",93.616,6.5487
"356.16052",93.401,6.5454
"319.16686",0.010727,-6.5426
"517.23802",0.010731,-6.5421
"483.31511",0.010777,-6.5359
"441.26265",0.010787,-6.5345
"549.05181",0.010802,-6.5326
"357.28045",0.010912,-6.5179
"471.34701",0.010924,-6.5163
"610.49164",91.173,6.5105
"437.12496",90.924,6.5066
"503.16246",90.407,6.4984
"540.31659",89.774,6.4882
"231.11385",0.011148,-6.4871
"108.04417",89.605,6.4855
"441.35928",0.011212,-6.4788
"782.56601",89.082,6.4771
"362.20107",0.011287,-6.4692
"454.26635",0.011403,-6.4544
"439.30271",87.585,6.4526
