"","Overall"
"149.09611",47.063
"340.16038",46.939
"315.1244",46.847
"505.32888",46.812
"320.16999",46.805
"308.17021",46.787
"541.23957",46.751
"288.19024",46.734
"526.2479",46.653
"305.07052",46.631
"479.26567",46.624
"439.37982",46.602
"136.89064",46.596
"465.28639",46.566
"456.29792",46.538
"337.10629",46.428
"381.10713",46.406
"370.14255",46.326
"421.13061",46.31
"653.51359",46.291
"242.11151",46.29
"369.33768",46.286
"781.56266",46.261
"466.80366",46.211
"550.29228",46.205
"376.21678",46.133
"447.20602",46.045
"438.29378",46.019
"464.80573",45.866
"399.14835",45.783
"440.25569",45.781
"313.21004",45.716
"347.19036",45.689
"442.01666",45.649
"403.15818",45.647
"673.30908",45.608
"441.35928",45.528
"512.99406",45.505
"700.38416",45.502
"444.01322",45.444
"581.24074",45.408
"376.21669",45.332
"518.30449",45.325
"697.44229",45.269
"373.11475",45.169
"465.30501",45.154
"575.45414",45.095
"407.12178",45.012
"712.53998",44.969
"277.03966",44.963
"113.04137",44.961
"696.23374",44.937
"434.19775",44.918
"395.07533",44.918
"613.30003",44.897
"244.12691",44.879
"331.08034",44.869
"324.16547",44.859
"288.61985",44.8
"373.07185",44.792
"528.3442",44.791
"445.19044",44.755
"285.12472",44.726
"224.01345",44.645
"725.38666",44.639
"376.21657",44.613
"408.28334189",44.551
"252.13226",44.459
"308.17034",44.443
"415.18993",44.372
"445.19042",44.342
"468.30534",44.329
"555.4415",44.321
"375.21829",44.235
"261.16092",44.164
"306.15454",44.121
"357.28045",44.113
"465.30512",44.041
"373.57345",43.987
"264.08643",43.982
"492.33356",43.968
"596.35283",43.966
"399.00122",43.89
"293.10365",43.854
"483.21361",43.847
"333.13299",43.847
"594.33888",43.845
"231.11385",43.828
"582.27218",43.807
"365.20862",43.777
"306.07375",43.773
"469.20412",43.77
"249.06329",43.752
"589.17181",43.746
"415.14328",43.627
"222.04903",43.585
"328.16196",43.566
"464.31534",43.527
"525.30558",43.512
"452.38323",43.493
"384.32068",43.441
"482.33915",43.429
"487.237",43.355
"266.6066",43.325
"415.26288",43.278
"368.16177",43.246
"443.01035",43.235
"323.16182",43.214
"270.0479",43.181
"427.1799",43.016
"471.2424",42.986
"439.08666",42.933
