"Sample","SA1","SA2","SA3","SA4","SA5","SB1","SB2","SB3","SB4","SB5"
"Label","A","A","A","A","A","B","B","B","B","B"
"128.59425","40775.39652","18939.28911","23635.344","17346.66466","66448.68425","7997441.34119","8317475.52745","8367758.36235","9015665.80996","9270094.0336"
"129.01574","3257817.43108","3015688.98104","4437412.5047","1633590.44028","1726358.83775","3622198.09323","4013172.21363","2081196.67584","3152237.4013","1601906.92293"
"129.10254","25574179.75724","23796371.52705","24916864.10266","24620140.48136","24850918.09355","24430029.88971","24181536.55877","21687663.40362","20507254.65258","19561349.8991"
"129.09581",NA,NA,"8124.7551",NA,NA,"890234.26071","945785.26783","1013800.19755","1123007.24381","1087661.1315"
"129.01577","11182122.00037","13230276.70067","20461993.06975","18389176.9875","17145636.49854","16394626.05017","17144429.12549","10990008.04827","20573443.52136","18364270.41253"
"129.51183","9460315.88817","9676956.94137","15880207.75471","9959719.45029","6058544.40213","2496198.31347","9313176.41507","8497462.01553","9220725.64525","8942957.42242"
"130.10599","1400937.80383","1303347.16966","1456852.46833","1415141.86452","1326269.02164","1210544.9294","1198396.90447","1202211.09598","1146474.37579","1126105.24599"
"130.15933","33091730.28585","29834742.50455","26099605.83466","25717927.87907","26620007.91999","21057959.91659","20584194.71144","25593449.07609","21387619.82791","21878144.40549"
"130.15929","61954175.5407","58670762.38365","57630796.58019","56437612.97272","55466756.98783","52437037.25485","47969398.26388","45187162.90494","46266876.99287","44727696.86647"
"130.53361","273258703.03085","185021866.04141","18649887.42163","285600922.57816","258107712.65907","255537836.92069","239621517.32388","217911171.69","206066315.73663","196084129.07987"
"130.53346","544512010.17714","659212222.35135","540531805.4719","544880046.26374","631007316.18207","352126027.22","312994374.4562","443188419.42533","493926011.77432","270312853.97145"
"130.53353","130895452.48526","141255975.99951","126048610.11623","150669707.85841","120316732.64467","11700268.56","108493557.22956","102675332.47324","114310772.59623","60068704.52906"
"131.04974","2326250.53179","2566791.18064","2340286.3218","2401630.45206","2571642.20493","2303061.8975","2250987.1121","2223183.78681","2216277.70887","2161988.65598"
"131.03537","15388817.95058","15152272.24557","24091483.16865","25794992.99784","23357761.17932","17831037.77274","19150630.07916","15334182.81364","17860808.64937","450574.30019"
"131.03522","48633124.93376","59929826.87374","48690475.12368","50860666.44614","58818887.84747","56168548.52922","21803819.29744","26057930.48855","44254694.75931","44881273.71498"
"131.03528","7668719.82667","8288417.93125","9571718.89199","10776308.54591","10671215.30073","12339442.81745","9801243.39435","12440840.44294","9855441.91647","9436423.325"
"131.16257","2242292.71479","960455.77336","1741913.60238","1561233.2786","1856357.69755","1357094.4076","1287604.53944","1790461.96877","1241673.85995","1343455.18794"
"131.16254","3327276.97285","3428660.24635","3977744.74881","3684375.09044","3593696.39091","3660609.32358","3217643.24745","3307263.73823","2679742.15995","3151676.32833"
"131.53369","961151815.52175","1040273235.206","968819999.18234","955391727.34374","948013504.47763","962486380.14507","937669894.081","921645706.90594","896542924.1207","879976940.28238"
"131.53362","242220115.66034","237960461.02219","415832297.35333","245983846.8925","476980317.9509","80032656.01266","413370745.24212","393883595.325","172270866.57543","383231635.28021"
"131.53357","167882009.85231","23615169.12","294394625.08435","110719305.43193","194004070.91349","19571695.92001","509292554.21565","18302538.83333","138366943.31267","134302949.78571"
"131.5336","220216906.61895","284661411.35956","210547108.62127","280409431.86783","216342362.08908","45304094.83714","217663357.96137","289837051.30817","11964481.32","201534879.49333"
"131.53369301","123448972.46105","490003385.42557","279873307.70667","373409422.88","231413815.88569","162573388.18923","225775388.68873","184401674.38452","214553849.1891","216854181.08444"
"132.03528","107946248.95158","114017276.59925","106916345.24633","107091105.07176","104570243.66595","106242202.33034","103721197.83427","100199759.13983","98709859.34227","95008659.78233"
"132.05298","100143.99322","100016.1482","136582.56153","125780.57687","140356.95578","115330.36272","139996.8325","70142.22823","65737.31625","107185.86176"
"132.0353","3212739.1875","67948470.95276","34655334.99597","49748860.62078","31032029.33294","35044918.48861","34157193.19139","20966799.45979","32193502.51772","1017223.82875"
"132.03532","25796210.27959","32465873.77893","24068122.55813","30758723.99679","19423472.08626","1790561.41541","25122701.18537","14751449.2682","24741677.59212","10440747.72025"
"132.5312","383909303.05243","415885091.0075","387894335.38694","383167213.25797","377328006.0245","385573203.21016","374685400.45983","367941551.28314","357959290.31897","350937172.775"
"132.53134","93982255.04726","48633234.27363","35238449.55476","6577167.14667","54139065.70781","160954973.66041","67663561.95654","31439683.45875","46816755.65778","8464232.1625"
"133.06495","5194006.27789","7944656.10865","5912190.51596","5811272.57363","5844359.38285","6791391.1406","5266334.0887","5646584.85528","5279668.92185","5361106.44226"
"134.06835","384952.78338","645680.37005","472494.83389","441250.48709","466805.30709","594490.90481","413839.41875","386423.56777","403317.18273","462883.30742"
"134.09668","111037300.87199","133037806.78401","120779459.26526","123089097.88253","129767811.01291","134838874.57587","142330881.87531","163592418.35499","151192087.67309","156662109.96224"
"135.08042","4157085.93261","4704963.39436","3749926.40743","3671371.05075","3726989.39523","3895496.42952","3913862.93543","4297499.58042","4091386.15343","3832002.16737"
"135.04425","8093157.67727","8786457.9239","7749067.99283","7629827.69108","8616145.70611","8189866.8061","6870741.1504","6368014.50635","6048867.33449","5997958.54776"
"135.0443","81273757.50708","78499029.54863","81033873.09237","79607460.15067","81565150.86716","53599762.99441","70661159.54748","68106105.69228","68216342.8465","69154966.89598"
"135.09996","9207522.89906","10779652.81811","9813468.32523","10482382.1957","10850507.65006","11218988.40764","12214936.28142","13843060.0171","12765733.91656","13554885.89804"
"136.04765","542176.25169","651631.11491","600563.78824","584943.99334","632955.76892","585899.07042","487461.18689","412452.12686","323484.04254","330774.00654"
"136.04766","5849349.3236","5540054.64759","5957943.09326","5782197.11926","6016932.8829","4062999.0678","5088750.86622","3339167.43818","5041819.92874","3688249.01248"
"136.08407","319852.18826","371656.25836","276022.33939","221965.708","244682.62452","315587.40689","249947.59926","299788.84303","295278.86616","288419.53944"
"137.05989","42896033.58835","39709405.84033","39541305.21413","45648625.01694","39495209.02058","38800730.26835","39156992.07671","40068055.12729","40383227.62914","40073190.1213"
"137.00178","305203627.12686","319490236.994","315656609.37385","295531243.56452","313540172.00937","314669790.26169","294452115.68199","301662701.12766","321793039.16217","352396172.39879"
"137.13279","29799376.26337","26852480.53627","23873369.00104","23696834.57436","24658008.10871","24468118.77311","23678141.46524","28619595.14931","23472440.22078","25074306.20372"
"137.50366","13262184.15863","14202387.06274","13278169.9855","13927355.18596","13851439.2643","13240164.83585","12842413.06734","13835186.50535","12407783.67006","16531610.40012"
"137.99959","37101826.53389","37663838.89902","37713648.38777","33636105.13679","37584661.60691","38473081.07434","34816399.0569","37337945.76206","37690227.52044","43160606.47209"
"138.06331","2983617.67698","2852840.58881","2718685.37293","3247700.87612","2845628.40907","2751147.89003","2772409.80288","2810079.94873","2804285.42788","2795203.63164"
"138.13618","2197169.41285","2436266.53536","2203904.43794","2129240.79958","2226549.09668","1865070.30215","1974314.64849","2777898.87253","2086711.95707","2118114.84631"
"139.53022","12574097.55432","11906006.99441","16029373.43692","13318140.69899","15984406.15065","12214458.27507","16698080.61988","13738177.20411","14327977.08971","15017141.02044"
"139.98812","89507558.9991","91701225.68458","91738354.82974","87681593.0925","86620934.73695","88140862.28276","84800106.87517","97436681.70141","81091528.46567","87313545.63771"
"140.03189","923898.09962","1147406.83627","1388537.7339","1143855.74412","1545272.60648","1161393.8588","1662711.23975","1373221.3811","1233052.99003","1335892.56224"
"140.06847","11530830.9958","8332453.32346","10313619.36694","10315575.568","10018176.79466","8348921.70186","8121139.2144","8609321.05841","8384982.71197","9302412.10232"
"140.528","890503.83715","752017.71373","1210685.83022","857243.04931","1061338.68463","833267.7106","1171364.2913","718790.88734","902871.78014","1045967.34033"
"140.9915","3220751.37723","3330888.22542","3608346.33166","3271498.35279","329069.30341","3176240.38734","3135182.60177","3164209.11354","2984833.57672","3111301.24015"
"141.07184","468608.82708","320174.32601","415276.92102","432199.3718","427108.96819","337522.64048","313358.25948","352348.61784","323895.004","401257.23162"
"141.98353","30577945.53201","31553456.89755","31796113.13768","35800212.64799","30017905.31754","30289952.025","29490783.06621","32489174.59154","28400047.41094","29463571.7249"
"143.0442","6458242.21132","10072368.55411","7390411.28731","6982214.44666","7277722.99621","9104049.56626","9166538.96501","14243622.2016","11502080.55894","12312380.36309"
"143.54565","513455.62167","1173159.35606","893170.13342","665949.43522","751333.7623","1097859.99661","985029.65551","1618318.76796","1379851.43498","1527445.58383"
"143.99709","47668948.96703","35218093.04348","35083231.65376","33559366.60599","35493660.19288","40583508.90506","32861662.25215","31231145.8341","30640017.64841","33353586.56945"
"144.06841","1348203.67192","3750004.43025","3192477.35104","2947787.18763","2970564.63539","2993501.05601","3463846.40982","5785823.4341","4352695.22662","4770805.14612"
"144.57008","121024.54963","434940.26417","517872.76016","220980.6131","578857.95284","452192.57569","695054.28805","1090519.98985","642037.19612","826002.67441"
"145.00051","1282098.9141","937772.20271","900195.05426","860696.54887","948347.55889","1150704.3221","866342.32066","819986.88677","823275.8884","903986.87925"
"146.08392","380109832.5673","350580729.07466","41047014.20422","39137305.1184","88870217.62723","375163126.70023","345205736.96995","91192269.73704","36366864.88788","102540773.41129"
"146.58555","5402815.00392","3815752.53487","7821134.66756","7155086.88324","6733454.4932","6226885.26249","6691023.58739","6016045.26842","6610601.427","6240233.41257"
"147.08054","24023783.04602","22840073.61858","23193702.6368","22645901.32292","22997997.0001","20582763.57626","22550649.26532","21522056.51184","21778469.41319","22274079.48334"
"148.08391","2383227.38642","2213573.7601","2257202.89061","2287797.89884","2303155.44329","2068997.85271","2194714.68576","2103312.8075","2120625.37507","2100266.41546"
"149.05983","41564615.69749","40150296.87543","40184718.06535","39595367.05131","40357594.22835","36582939.3671","39425211.46375","38506846.53689","38069821.76805","39017739.48656"
"149.02347","43414097.71992","55965296.05348","41017255.8422","41576816.30598","58661184.7294","57571632.29614","42979826.76946","43928547.60003","41540039.47112","41968453.50882"
"149.11754","16894251.76471","21096861.02895","16906166.77925","17416327.05509","17331176.62837","20388885.66497","20751258.24631","25949329.77129","20887116.68701","21637290.98169"
"149.13271","2704767.18842","3304542.5981","2641852.85743","2564941.82801","3225862.01507","3183252.96765","2561695.50608","2511559.29534","2539513.48546","2509576.61128"
"150.07763","16096406.19242","17629707.81794","3119812.62699","108575699.07298","110107815.63936","3068040.05748","17491129.10235","100986195.5552","102526014.79091","104216685.97605"
"150.02683","3336954.98366","4156434.02025","3195461.56313","3142197.829","4452404.2734","4417266.40984","3265228.28308","3290334.9557","3199941.51776","3136343.93963"
"150.0632","3741965.05325","3567982.98952","3501363.18777","3565501.98098","3247185.33747","2972550.35164","3439067.36343","3359601.4837","3452087.31818","3454194.63322"
